id,Dénomination,Bureau,Année,Type,Styles,Saison,Météo,Journée,Lumière,Composition,Affectations,Pays,Nom de fichier (avec extension)
0,3XN_ElizabethStreet_Sydney,MIR,,Extérieur,Réaliste,,,,Direct,Central,Logement,,MIR_3XN_ElizabethStreet_Sydney_Australie_1.jpg
1,3XN_ElizabethStreet_Sydney,MIR,,Intérieur,Réaliste,,,,Diffuse,,Logement,,MIR_3XN_ElizabethStreet_Sydney_Australie_2.jpg
2,3XN_ElizabethStreet_Sydney,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,Vertical,Logement,,MIR_3XN_ElizabethStreet_Sydney_Australie_3.jpg
3,3XN_ElizabethStreet_Sydney,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,Vertical,Logement,,MIR_3XN_ElizabethStreet_Sydney_Australie_4.jpg
4,3XN_Sydney_Fish_Market,MIR,,Extérieur,Réaliste,,Dégagé,Soir,Artificielle,Frontal,Public,,MIR_3xn_SydneyFishMarket_Australie_1.jpg
5,3XN_Sydney_Fish_Market,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,Frontal,Public,,MIR_3xn_SydneyFishMarket_Australie_2.jpg
6,BIG_Watch Museum_AudemarsPiguet,MIR,,Extérieur,Réaliste,Hiver,Nuageux,Milieu journée,Artificielle,Drone,Culture,Suisse,MIR_Big_WatchMuseum_AudemarsPiguet_Suisse.jpg
7,Bofill_Landscape,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,Central,Urbanisme,,MIR_Bofill_Landscape.jpg
8,Cobe_Tapeten Museum,MIR,,Intérieur,Réaliste,,,,Diffuse,Central,Culture,,MIR_Cobe_TapetenMuseum_Allemagne.jpg
9,Dorte Madrup_BabybnJar_Memorial,MIR,,Extérieur,Réaliste,Hiver,Dégagé,Milieu journée,Direct,,Public,,MIR_DorteMadrup_BabybnJar_Memorial_Ukraine_1.jpg
10,Dorte Madrup_BabybnJar_Memorial,MIR,,Extérieur,Réaliste,Hiver,Nuageux,Milieu journée,Diffuse,,Public,,MIR_DorteMadrup_BabybnJar_Memorial_Ukraine_2.jpg
11,Dorte Madrup_BabybnJar_Memorial,MIR,,Extérieur,Réaliste,Hiver,Nuageux,Milieu journée,Artificielle,,Public,,MIR_DorteMadrup_BabybnJar_Memorial_Ukraine_3.jpg
12,Dorte Mandrup_The Whale_Museum,MIR,,Extérieur,Réaliste,,Dégagé,Nuit,Spot,Frontal,Culture,,MIR_DorteMandrup_TheWhale_Norvege_1.jpg
13,Dorte Mandrup_The Whale_Museum,MIR,,Extérieur,Réaliste,Été,Pluvieux,Milieu journée,Diffuse,Drone,Culture,,MIR_DorteMandrup_TheWhale_Norvege_2.jpg
14,Dorte Mandrup_The Whale_Museum,MIR,,Extérieur,Réaliste,,Pluvieux,,Artificielle,,Culture,,MIR_DorteMandrup_TheWhale_Norvege_3.jpg
15,DRMA_Eggedal,MIR,,Extérieur,Réaliste,Automne,Nuageux,Matin,Spot,Central,Urbanisme,,MIR_DRMA_Eggedal_Norvege.jpg
16,Foster_MusicHall_Geneve,MIR,,Intérieur,Réaliste,,,,Artificielle,,Culture,Suisse,MIR_Foster_MusicHall_Geneva_Suisse.jpg
17,Kengo Kuma_Lisbon museum,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,Central,Culture,,MIR_KengoKuma_Lisbonmuseum_Portugal_1.jpg
18,Kengo Kuma_Lisbon museum,MIR,,Extérieur,Réaliste,Été,Dégagé,,Direct,Frontal,Culture,,MIR_KengoKuma_Lisbonmuseum_Portugal_2.jpg
19,Modern Office_AttaboticsHQ,MIR,,Extérieur,Réaliste,Hiver,Nuageux,,,Central,Commercial,,MIR_ModernOffice_AttaboticsHQ_Canada_1.jpg
20,Modern Office_AttaboticsHQ,MIR,,Extérieur,Réaliste,Automne,Nuageux,Milieu journée,Spot,Central,Commercial,,MIR_ModernOffice_AttaboticsHQ_Canada_2.jpg
21,Modern Office_AttaboticsHQ,MIR,,Extérieur,Réaliste,Hiver,Nuageux,Milieu journée,Diffuse,Central,Commercial,,MIR_ModernOffice_AttaboticsHQ_Canada_3.jpg
22,NormannBelGeddes_Flying Restaurant,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Diffuse,Central,Commercial,,MIR_NormannBelGeddes_FlyingRestaurant_Aosta_Italie.jpg
23,Ooda_Miramar Housing Tower,MIR,,Extérieur,Réaliste,,,Nuit,Artificielle,Vertical,Logement,,MIR_Ooda_MiramarHousingTower_Portgual_1.jpg
24,Ooda_Miramar Housing Tower,MIR,,Extérieur,Réaliste,,,Matin,Artificielle,Drone,Logement,,MIR_Ooda_MiramarHousingTower_Portgual_2.jpg
25,Powerhouse_Tillburg University,MIR,,Extérieur,Réaliste,Automne,Nuageux,Milieu journée,Diffuse,Frontal,École,,MIR_Powerhouse_TillburgUniversity_PaysBas.jpg
26,Saunders_Carraig Ridge,MIR,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,Central,Logement,,MIR_Saunders_CarraigRidge_Canada_1.jpg
27,Saunders_Carraig Ridge,MIR,,Extérieur,Réaliste,Hiver,Nuageux,Soir,Artificielle,,Logement,,MIR_Saunders_CarraigRidge_Canada_2.jpg
28,Saunders_Carraig Ridge,MIR,,Extérieur,Réaliste,Hiver,Dégagé,Milieu journée,Direct,Frontal,Logement,,MIR_Saunders_CarraigRidge_Canada_3.jpg
